,lat,lng
970,12.4845,55.6919
972,12.4839,55.6918
973,12.4835,55.6917
974,12.4833,55.6917
976,12.4827,55.6916
977,12.4823,55.6915
978,12.4822,55.6914
980,12.4816,55.6913
981,12.4813,55.6912
982,12.604,55.6579
983,12.6052,55.6588
985,12.6058,55.6585
987,12.6057,55.6584
989,12.6056,55.6584
990,12.6056,55.6583
992,12.6055,55.6582
994,12.6054,55.6581
995,12.6047,55.6576
996,12.5501,55.6653
997,12.551,55.6644
1002,12.4911,55.6899
1003,12.491,55.69
1004,12.4909,55.6903
1005,12.4908,55.6905
1006,12.4908,55.6906
1007,12.4906,55.6908
1009,12.4906,55.6909
1013,12.4905,55.691
1014,12.4904,55.6912
1015,12.4902,55.6916
1016,12.4901,55.6917
1017,12.4899,55.692
1018,12.4898,55.6921
1019,12.4898,55.6922
1023,12.4897,55.6923
1026,12.4894,55.6928
1027,12.556,55.6679
1028,12.5576,55.6661
1029,12.5577,55.6661
1030,12.5581,55.6656
1032,12.5919,55.6729
1033,12.592,55.6729
1034,12.5926,55.6726
1035,12.5927,55.6725
1036,12.5838,55.7056
1039,12.5841,55.7049
1041,12.5841,55.7048
1043,12.5841,55.7047
1045,12.5843,55.7041
1046,12.5832,55.708
1048,12.5832,55.7081
1049,12.5832,55.709
1052,12.6102,55.6658
1053,12.6102,55.6657
1054,12.6104,55.6655
1055,12.6105,55.6654
1056,12.6094,55.6656
1057,12.6099,55.6647
1058,12.6103,55.6643
1059,12.611,55.6635
1060,12.5549,55.6719
1061,12.5548,55.6718
1063,12.5545,55.6717
1065,12.5542,55.6716
1067,12.5541,55.6716
1068,12.5849,55.6788
1069,12.5847,55.6787
1070,12.5842,55.6787
1071,12.584,55.6787
1073,12.5839,55.6787
1074,12.5833,55.6786
1075,12.5832,55.6786
1078,12.583,55.6786
1079,12.5826,55.6785
1080,12.5825,55.6785
1081,12.5853,55.6934
1082,12.5862,55.6939
1083,12.5865,55.6941
1085,12.5867,55.6943
1086,12.5872,55.6946
1087,12.5876,55.6948
1088,12.5879,55.695
1089,12.5879,55.6951
1090,12.5886,55.6955
1094,12.59,55.6965
1095,12.5901,55.6966
1097,12.5902,55.6966
1099,12.5871,55.707
1100,12.5867,55.7079
1102,12.5866,55.708
1104,12.5866,55.7081
1106,12.5863,55.7086
1108,12.5863,55.7087
1109,12.586,55.7091
1110,12.586,55.7092
